,importance,name
122,0.003870219241594721,"sensor0__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)"
290,0.0038471410074416663,"sensor1__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)"
176,0.003824461341753559,sensor2__quantile__q_0.8
1164,0.003788448576008108,"sensor1__fft_coefficient__attr_""abs""__coeff_1"
70,0.0037202505276819264,"sensor2__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0"
282,0.0036492786562172686,"sensor1__fft_coefficient__attr_""abs""__coeff_2"
143,0.0036014411611016944,sensor2__absolute_sum_of_changes
1189,0.0035879278991745468,"sensor1__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)"
855,0.0035149630025529347,"sensor1__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
4,0.003502886576753732,"sensor0__fft_coefficient__attr_""abs""__coeff_5"
150,0.003442236484316358,sensor2__sum_values
121,0.0034339969851578515,"sensor0__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)"
94,0.003399101918931062,"sensor0__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
131,0.0033842831621100173,"sensor0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
104,0.0033610331871202063,"sensor1__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min"""
19,0.0033512567626922687,sensor0__quantile__q_0.1
1297,0.003333219465319294,sensor1__mean
153,0.0032101197708090307,"sensor0__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)"
79,0.003167020417592249,"sensor0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
966,0.0031046577347472915,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2"
14,0.003070872935516139,"sensor0__fft_coefficient__attr_""abs""__coeff_4"
671,0.003053399828379483,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6"
139,0.002951920382665013,"sensor0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
446,0.0028349725456693663,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
723,0.0028041458102949514,sensor1__absolute_sum_of_changes
348,0.002753450741562856,"sensor1__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)"
442,0.0026029385915749543,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6"
320,0.002538086252355075,"sensor2__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
236,0.002536578050120739,"sensor1__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)"
102,0.0024559656050232963,"sensor1__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)"
887,0.0024524683231367424,sensor1__c3__lag_2
185,0.002416682797960487,"sensor1__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
76,0.002376549028840406,sensor1__has_duplicate_max
20,0.0023434639067426584,sensor0__spkt_welch_density__coeff_2
420,0.002291806354867851,"sensor3__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
36,0.002223939826129182,sensor1__last_location_of_minimum
689,0.0021595049296717207,"sensor1__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
61,0.0021182665373710263,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
160,0.0021019059257153536,"sensor2__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)"
668,0.0019958577608461857,sensor0__quantile__q_0.7
144,0.0019858443358930795,sensor2__mean_abs_change
6,0.0019164629789272206,sensor0__variance
557,0.0018993394792692726,"sensor3__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6"
84,0.0018503339161516977,sensor0__number_peaks__n_1
11,0.0018443751229475125,sensor0__maximum
