,importance,name
7,0.02078156207409562,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
18,0.017048713258814657,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
2,0.0169815035328163,"sensor0__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var"""
19,0.016923217021347706,sensor0__cid_ce__normalize_False
92,0.016224159651284636,"sensor1__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)"
948,0.014634341913560082,sensor1__standard_deviation
1101,0.013516761146937038,"sensor1__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)"
5,0.013515102246364001,sensor0__variance
43,0.013431526311793514,sensor0__mean_abs_change
28,0.013295509565011488,"sensor1__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
157,0.013243687228146455,"sensor0__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)"
510,0.012899117118527297,"sensor1__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max"""
1069,0.012797054594420012,sensor1__abs_energy
108,0.01267757591526207,"sensor0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
144,0.012225463459506272,sensor3__energy_ratio_by_chunks__num_segments_10__segment_focus_5
1068,0.012205795038935884,sensor1__root_mean_square
259,0.010851505609145762,"sensor0__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)"
40,0.010666847277302471,"sensor0__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
64,0.010403224851797076,"sensor0__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
94,0.010321864879048397,"sensor1__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)"
422,0.010154536401643866,"sensor1__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
17,0.00995345186422048,sensor0__spkt_welch_density__coeff_2
542,0.00989545192125632,"sensor3__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)"
151,0.009883656134506353,"sensor1__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)"
132,0.00973920536521951,"sensor0__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
1131,0.00973449638770285,"sensor1__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)"
965,0.009370908204413468,"sensor1__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)"
689,0.009363344590202098,"sensor1__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
271,0.009209245772050782,"sensor1__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)"
197,0.00819833936027199,"sensor2__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
9,0.008127260954765238,sensor0__root_mean_square
111,0.008087715285469345,"sensor2__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)"
892,0.007800657791426706,sensor1__mean_abs_change
110,0.007636498317159223,"sensor0__fft_coefficient__attr_""real""__coeff_2"
1132,0.007451154677261937,"sensor1__fft_coefficient__attr_""abs""__coeff_1"
188,0.0072911391214887135,"sensor1__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)"
1162,0.007210459382585639,sensor1__c3__lag_1
1038,0.007139674391163026,"sensor1__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
898,0.007027648885593187,"sensor3__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
378,0.006988727041197617,"sensor1__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)"
77,0.0069166589237812095,"sensor1__fft_coefficient__attr_""real""__coeff_2"
109,0.006895097791794945,"sensor2__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)"
806,0.006824521657640368,"sensor1__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)"
1216,0.006811711569213174,"sensor1__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)"
10,0.006794785412167647,sensor0__abs_energy
172,0.006775848064910824,sensor0__sum_values
131,0.006743632858491036,"sensor2__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)"
3,0.006699586216390604,sensor0__maximum
326,0.006698780361911544,"sensor0__cwt_coefficients__coeff_7__w_2__widths_(2, 5, 10, 20)"
553,0.006558696945388843,"sensor1__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
407,0.006553943143447189,"sensor0__fft_coefficient__attr_""real""__coeff_3"
523,0.00654927247090991,"sensor0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
