,importance,name
952,0.010249425275695768,"sensor0__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
925,0.007848931729512044,"sensor3__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)"
1004,0.007377664687719269,"sensor3__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)"
1007,0.0072063234353164415,"sensor0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min"""
1128,0.006735197535767973,"sensor0__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)"
1041,0.006340721608193425,"sensor3__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)"
280,0.0061865558439023385,"sensor0__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)"
140,0.006153539114127743,"sensor2__cwt_coefficients__coeff_10__w_2__widths_(2, 5, 10, 20)"
220,0.006047518496655353,"sensor1__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
669,0.0058743393830016,"sensor1__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)"
787,0.0057418343470217485,"sensor0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min"""
239,0.005405733196380646,"sensor0__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)"
1161,0.005325813697375191,"sensor1__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var"""
5,0.005250356865075849,"sensor2__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
195,0.005168662916930706,"sensor0__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)"
299,0.00494792915060722,"sensor0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)"
673,0.004925638880990556,"sensor0__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean"""
6,0.0049107463760617665,sensor2__absolute_sum_of_changes
834,0.004860177811089723,sensor0__first_location_of_maximum
