,importance,name,cumsum
52,0.0038389070746689125,"sensor2__fft_coefficient__attr_""real""__coeff_3",0.314383941480572
53,0.003814309259491626,"sensor1__fft_coefficient__attr_""real""__coeff_1",0.31819825074006364
54,0.003729813481264017,"sensor2__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.32192806422132764
55,0.003717601598856589,"sensor3__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",0.3256456658201842
56,0.003674352359048585,sensor1__maximum,0.3293200181792328
57,0.0036357924649350285,sensor2__energy_ratio_by_chunks__num_segments_10__segment_focus_5,0.3329558106441678
58,0.0036101871881500038,"sensor2__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.3365659978323178
59,0.0036066550818643055,"sensor3__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.3401726529141821
60,0.0035930609120135505,"sensor2__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.34376571382619564
61,0.0035448343922361426,"sensor3__linear_trend__attr_""intercept""",0.34731054821843177
62,0.003447228227030212,"sensor3__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.35075777644546197
63,0.0034255094801423085,sensor1__abs_energy,0.3541832859256043
64,0.0033977460856772627,"sensor1__fft_coefficient__attr_""abs""__coeff_4",0.35758103201128155
65,0.003343049703156087,sensor2__root_mean_square,0.36092408171443763
66,0.003331573613055255,"sensor2__linear_trend__attr_""slope""",0.3642556553274929
67,0.003322308930748411,"sensor1__linear_trend__attr_""stderr""",0.3675779642582413
68,0.0033131540257751967,"sensor3__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.3708911182840165
69,0.0033118989430893013,"sensor2__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)",0.3742030172271058
70,0.0032725657594450345,"sensor0__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.3774755829865508
71,0.0032647358774966946,"sensor2__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.3807403188640475
72,0.0032438557694117343,"sensor1__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.38398417463345924
73,0.003229889766160472,"sensor1__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.3872140643996197
74,0.0031959424777459966,"sensor3__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.3904100068773657
75,0.0031920827824859777,"sensor2__fft_coefficient__attr_""real""__coeff_0",0.39360208965985166
76,0.0031885324844644443,"sensor2__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""",0.3967906221443161
77,0.0031716822557896845,sensor1__mean,0.3999623044001058
78,0.003149608488675836,"sensor2__fft_coefficient__attr_""abs""__coeff_0",0.4031119128887816
79,0.0031228139893745943,sensor2__mean_abs_change,0.4062347268781562
80,0.0030776275898005416,"sensor0__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.4093123544679568
81,0.003063703276427653,"sensor1__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2",0.4123760577443844
82,0.0030624259680223924,"sensor2__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.4154384837124068
83,0.003004628718498254,"sensor2__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.4184431124309051
84,0.0029528555538913225,"sensor2__cwt_coefficients__coeff_3__w_2__widths_(2, 5, 10, 20)",0.4213959679847964
85,0.0029363041066754556,"sensor1__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.42433227209147184
86,0.0029235961125059795,"sensor0__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.4272558682039778
87,0.0029039051515991833,"sensor0__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)",0.430159773355577
88,0.0028632057809598634,"sensor0__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.43302297913653687
89,0.0028575198665494357,"sensor2__linear_trend__attr_""rvalue""",0.4358804990030863
90,0.0028546064636791797,sensor2__standard_deviation,0.4387351054667655
91,0.002827891937337906,"sensor3__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)",0.4415629974041034
92,0.0028187969285157427,"sensor2__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.4443817943326191
93,0.0028057151405624743,"sensor2__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.4471875094731816
94,0.002794729065744467,sensor0__c3__lag_1,0.44998223853892605
95,0.0027762066406196197,"sensor2__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""var""",0.45275844517954567
96,0.002763315392889086,"sensor0__cwt_coefficients__coeff_6__w_2__widths_(2, 5, 10, 20)",0.45552176057243476
97,0.002755093641047576,"sensor1__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",0.45827685421348235
